event_name,contract_address,event_arguments,transaction_hash,block_number,block_hash,log_index,transaction_index,poolAddress,poolType,nft,bondingCurve,fee,delta
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x0Ff2f193A9867c40FAC38A12FDb3c923ecA12a12'},0x8b432353a8d0f1557cc8a57ede791ec4e038c6fe372bffe62a62312359bc2379,15297772,0x6558c0c2e999ed37742bb65d786c243e16fd82d0b0d2fc2d612d611075293b61,189,129,0x0Ff2f193A9867c40FAC38A12FDb3c923ecA12a12,2,0x28dd343abfa64e6BE404eBA735485283Fcd099D2,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,69000000000000000,6900000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xBB473bF54529a9Cf180E41822D6b416A1E00682D'},0x56d3d31f843d3f8d1c2e8e7621b299beb6b8bd8eb1b986be60133212ff7e33f4,15297783,0x1513968f7092aef78aac2cf0387653ebd5c1a1801d32489df3c7ac6d0a2e2e9b,181,92,0xBB473bF54529a9Cf180E41822D6b416A1E00682D,2,0x543D43F390b7d681513045e8a85707438c463d80,0x432f962D8209781da23fB37b6B59ee15dE7d9841,25000000000000000,1002647000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xb348f9f4f8622A32F46a0ec6edf6E5eeC912B91B'},0x04cbc032c2cda4ea1327e00cccf7bca8ae410d818db8f3fa8f246851d55e1aa7,15297826,0xcaf47c54eb0eecfa144b89726b17df4b71b4fdfd1244a3e1695e359c0503646a,308,186,0xb348f9f4f8622A32F46a0ec6edf6E5eeC912B91B,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,30000000000000000,1015000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x6720Ab0434076b03A01816b0046A6cFb79979d0e'},0x64e087a685c8a240d159b1cd2d88ffdfebff59028c1b6c170cebf32cc9520f34,15297837,0x9709be014c9ce0663c0adf6806378bfd7b871bd57b9822629f219917347ca5cb,133,103,0x6720Ab0434076b03A01816b0046A6cFb79979d0e,2,0x6C5a06AE6b773457480c12F12C2fB22627507A3A,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1040000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x34473E27Be4de01BeCc6Db472D459f3e87CDe34D'},0x074e9abdac86c2f15f23ebcc9be20e987fe2e7d10c33882440673532fd55bf70,15297854,0x4ec5427358efa14e1296f2a89088b51c8457c3e9bee2b26d75df803315f092e9,767,55,0x34473E27Be4de01BeCc6Db472D459f3e87CDe34D,2,0xE15715d6dBBc7227B2F6B0f044C3b4978676D48f,0x432f962D8209781da23fB37b6B59ee15dE7d9841,200000000000000000,1010000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xA0F7Da487909C6d0138c4E9f7f6E140cfE8B6a70'},0x9951249fca85e9521250c005c127b859d161f2f47bdcbed7b7f31890026e98ed,15297917,0x981ee0c9911992576ddd1eb3cfc12de46fff947dd9c64e33aa736bc8a85d9904,23,18,0xA0F7Da487909C6d0138c4E9f7f6E140cfE8B6a70,2,0xE15715d6dBBc7227B2F6B0f044C3b4978676D48f,0x432f962D8209781da23fB37b6B59ee15dE7d9841,100000000000000000,1100000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xc4477716b7D5f20d97Bf2CF1c4Ddc825016EfAFA'},0xc0af2e72635db7e9e37d9cfda0f7737b108a95ee7b8c01666f80eb25275ea4d0,15297925,0x29b620b4339181436e16acb8049c7048d0df1c5636ad36ec53110e294745f006,71,13,0xc4477716b7D5f20d97Bf2CF1c4Ddc825016EfAFA,2,0xE15715d6dBBc7227B2F6B0f044C3b4978676D48f,0x432f962D8209781da23fB37b6B59ee15dE7d9841,100000000000000000,1100000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x75f4cf79B563bB629C227Fd95B989126bE6d5Fd6'},0xa5363d7dea8594f2f7c955f81ddeb6ff54fee0ec63101f6d33ce896b1404c12b,15297997,0xf9bdaa5a2b985ff808613838177a653eb3dadad9d8e99ee666806eedfb115ea4,35,11,0x75f4cf79B563bB629C227Fd95B989126bE6d5Fd6,2,0x34d85c9CDeB23FA97cb08333b511ac86E1C4E258,0x432f962D8209781da23fB37b6B59ee15dE7d9841,50000000000000000,1015000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x7256A6010ED3Bd48F214Ed3AAcA35347669253a3'},0x523cd13e19816837dc753906235e53d8f63f07a8f5692fb5a443b200d1916d32,15298036,0xd7653f19a5d06fca1de690baf730957523383348fabd1bfbcfafbe31046cfefa,490,121,0x7256A6010ED3Bd48F214Ed3AAcA35347669253a3,2,0xeF1a89cbfAbE59397FfdA11Fc5DF293E9bC5Db90,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,50000000000000000,5000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xb1852CA4fAeA921000A8d52c00eFA3818eEfadCE'},0x312cb728feb44fa972a688d0b9caf7663763b2b45382892fb4527e0f4dfaa6ca,15298067,0x985bd36c2bcc0f243ee77783306d2372b7357122cf77187ef122128fa7845a11,136,44,0xb1852CA4fAeA921000A8d52c00eFA3818eEfadCE,2,0xB75F09b4340aEb85Cd5F2Dd87d31751EDC11ed39,0x432f962D8209781da23fB37b6B59ee15dE7d9841,100000000000000000,1100000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x68b8471e4e340b017a027c63b386890311aBDA37'},0x6bd0ebe1efe020c39411a68a40984b538d5d8db173db05c790e2a9b45cbbe646,15298072,0xa96e35fc3c97deb50049927ad9b97334f5ecd81922a51980d554fd4a77d3f660,67,38,0x68b8471e4e340b017a027c63b386890311aBDA37,2,0x28dd343abfa64e6BE404eBA735485283Fcd099D2,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,50000000000000000,10000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x31Cd15F703B12d1d7e2637D7DB5DC3DbFeD824DE'},0xef2039a4bf406b7d99e763c7c853c21c958e604242014e3194f997791f4c7c11,15298114,0xb133c9a98399488d69b55f70f7210a3d50bcf89001f688f545f8f86ea371108a,344,211,0x31Cd15F703B12d1d7e2637D7DB5DC3DbFeD824DE,2,0xcE6E3a14B5F8cE2b05aF0F117Dc922769779aA3b,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,50000000000000000,5000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x031387eea190588962c2eA539be790301cF40861'},0x7d7b0c8e4ae7888233a291e26a958fc4630c8da5f4007555b353354091b19ba3,15298118,0x561efe55f8209807d3767238fdfda76249b350429bd9fb3599218efc42ff1ddf,444,170,0x031387eea190588962c2eA539be790301cF40861,2,0x24dF06693Ff34bB0900aD23B5afD8D8127E5e8D0,0x432f962D8209781da23fB37b6B59ee15dE7d9841,66600000000000000,1020000000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0xEE1b1d00b22D84Fd987E85B5c0dFBdee70353eD8'},0xdf3d467f2b4dac8f9828b040ae5652d848e9f3b0870239d0cd310b633962fb7a,15298126,0xcdab458f3520aac19d14f4b0f9b9e93c55d97a474793bd4e3cf3d99bf0dbb84a,243,226,0xEE1b1d00b22D84Fd987E85B5c0dFBdee70353eD8,2,0x24dF06693Ff34bB0900aD23B5afD8D8127E5e8D0,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,30000000000000000,6900000000000000
NewPair,0xb16c1342E617A5B6E4b631EB114483FDB289c0A4,{'poolAddress': '0x9F381B25ae13dEdDC215d014D7b073463123f61e'},0x02b1a16890191530084100dd3e836b8b33c7d20776f5c4ce5d8ca2b2ff159074,15298158,0xabb105cf9fd9c548207c1a80e71b151caf95cc43d3ace0f01cad0fb35ba2df30,152,41,0x9F381B25ae13dEdDC215d014D7b073463123f61e,2,0x28dd343abfa64e6BE404eBA735485283Fcd099D2,0x5B6aC51d9B1CeDE0068a1B26533CAce807f883Ee,50000000000000000,2000000000000000
